date,sales_date,product,quantity,sales,sales_amount
2025-03-06,2025-03-06,Men Wear,118,39648,39648
2025-03-07,2025-03-07,Women Wear,50,16650,16650
2025-03-08,2025-03-08,Kids Wear,93,46407,46407
2025-03-09,2025-03-09,Shoes,103,50573,50573
2025-03-10,2025-03-10,Accessories,66,21846,21846
2025-03-11,2025-03-11,Winter Wear,144,67248,67248
2025-03-12,2025-03-12,Casual Wear,79,21409,21409
2025-03-13,2025-03-13,Sports Wear,81,19440,19440
2025-03-14,2025-03-14,Men Wear,145,23490,23490
2025-03-15,2025-03-15,Women Wear,85,27200,27200
2025-03-16,2025-03-16,Kids Wear,145,71340,71340
2025-03-17,2025-03-17,Shoes,103,29458,29458
2025-03-18,2025-03-18,Accessories,80,16400,16400
2025-03-19,2025-03-19,Winter Wear,137,23153,23153
2025-03-20,2025-03-20,Casual Wear,160,42080,42080
2025-03-21,2025-03-21,Sports Wear,91,35035,35035
2025-03-22,2025-03-22,Men Wear,129,39474,39474
2025-03-23,2025-03-23,Women Wear,98,25872,25872
2025-03-24,2025-03-24,Kids Wear,46,22402,22402
2025-03-25,2025-03-25,Shoes,89,31506,31506
2025-03-26,2025-03-26,Accessories,124,36208,36208
2025-03-27,2025-03-27,Winter Wear,57,16644,16644
2025-03-28,2025-03-28,Casual Wear,129,61662,61662
2025-03-29,2025-03-29,Sports Wear,170,60180,60180
2025-03-30,2025-03-30,Men Wear,177,56463,56463
2025-03-31,2025-03-31,Women Wear,47,9823,9823
2025-04-01,2025-04-01,Kids Wear,106,25546,25546
2025-04-02,2025-04-02,Shoes,107,18083,18083
2025-04-03,2025-04-03,Accessories,67,30485,30485
2025-04-04,2025-04-04,Winter Wear,151,49226,49226
2025-04-05,2025-04-05,Casual Wear,120,44760,44760
2025-04-06,2025-04-06,Sports Wear,170,35530,35530
2025-04-07,2025-04-07,Men Wear,138,61410,61410
2025-04-08,2025-04-08,Women Wear,88,24640,24640
2025-04-09,2025-04-09,Kids Wear,51,19023,19023
2025-04-10,2025-04-10,Shoes,40,16640,16640
2025-04-11,2025-04-11,Accessories,177,87261,87261
2025-04-12,2025-04-12,Winter Wear,90,30240,30240
2025-04-13,2025-04-13,Casual Wear,150,27750,27750
2025-04-14,2025-04-14,Sports Wear,124,58156,58156
2025-04-15,2025-04-15,Men Wear,120,58680,58680
2025-04-16,2025-04-16,Women Wear,71,21513,21513
2025-04-17,2025-04-17,Kids Wear,169,52052,52052
2025-04-18,2025-04-18,Shoes,144,45648,45648
2025-04-19,2025-04-19,Accessories,143,43043,43043
2025-04-20,2025-04-20,Winter Wear,72,17856,17856
2025-04-21,2025-04-21,Casual Wear,147,72030,72030
2025-04-22,2025-04-22,Sports Wear,137,67952,67952
2025-04-23,2025-04-23,Men Wear,84,39060,39060
2025-04-24,2025-04-24,Women Wear,117,41769,41769
2025-04-25,2025-04-25,Kids Wear,180,27000,27000
2025-04-26,2025-04-26,Shoes,117,34632,34632
2025-04-27,2025-04-27,Accessories,93,34410,34410
2025-04-28,2025-04-28,Winter Wear,122,47336,47336
2025-04-29,2025-04-29,Casual Wear,153,57528,57528
2025-04-30,2025-04-30,Sports Wear,94,38634,38634
2025-05-01,2025-05-01,Men Wear,161,37996,37996
2025-05-02,2025-05-02,Women Wear,61,17995,17995
2025-05-03,2025-05-03,Kids Wear,171,83619,83619
2025-05-04,2025-05-04,Shoes,125,24625,24625
2025-05-05,2025-05-05,Accessories,100,49400,49400
2025-05-06,2025-05-06,Winter Wear,119,31535,31535
2025-05-07,2025-05-07,Casual Wear,90,20250,20250
2025-05-08,2025-05-08,Sports Wear,46,7958,7958
2025-05-09,2025-05-09,Men Wear,102,40086,40086
2025-05-10,2025-05-10,Women Wear,58,22214,22214
2025-05-11,2025-05-11,Kids Wear,146,68912,68912
2025-05-12,2025-05-12,Shoes,89,30794,30794
2025-05-13,2025-05-13,Accessories,166,58764,58764
2025-05-14,2025-05-14,Winter Wear,102,22950,22950
2025-05-15,2025-05-15,Casual Wear,41,8364,8364
2025-05-16,2025-05-16,Sports Wear,148,38776,38776
2025-05-17,2025-05-17,Men Wear,85,35275,35275
2025-05-18,2025-05-18,Women Wear,158,27650,27650
2025-05-19,2025-05-19,Kids Wear,103,21836,21836
2025-05-20,2025-05-20,Shoes,156,34008,34008
2025-05-21,2025-05-21,Accessories,158,77578,77578
2025-05-22,2025-05-22,Winter Wear,175,76300,76300
2025-05-23,2025-05-23,Casual Wear,121,45496,45496
2025-05-24,2025-05-24,Sports Wear,169,62192,62192
2025-05-25,2025-05-25,Men Wear,180,68040,68040
2025-05-26,2025-05-26,Women Wear,80,31440,31440
2025-05-27,2025-05-27,Kids Wear,155,43710,43710
2025-05-28,2025-05-28,Shoes,103,49028,49028
2025-05-29,2025-05-29,Accessories,110,45760,45760
2025-05-30,2025-05-30,Winter Wear,164,77080,77080
