date,product,category,region,sales,quantity
2025-03-27,Mouse,Accessories,North,3478.0,3
2025-03-28,Mouse,Accessories,South,14898.0,12
2025-03-29,Headphones,Audio,South,18144.0,5
2025-03-30,Printer,Office,East,49643.0,4
2025-03-31,Speaker,Audio,North,23602.0,5
2025-04-01,Mouse,Accessories,East,13661.0,11
2025-04-02,Laptop,Electronics,South,51841.0,1
2025-04-03,Headphones,Audio,West,11179.0,3
2025-04-04,Tablet,Electronics,North,261589.0,9
2025-04-05,Mouse,Accessories,South,15401.0,12
2025-04-06,Laptop,Electronics,South,312096.0,6
2025-04-07,Tablet,Electronics,East,86902.0,3
2025-04-08,Printer,Office,East,12900.0,1
2025-04-09,Monitor,Electronics,North,171355.0,11
2025-04-10,Printer,Office,West,112725.0,9
2025-04-11,Keyboard,Accessories,South,10785.0,4
2025-04-12,Keyboard,Accessories,South,17725.0,7
2025-04-13,Printer,Office,South,87681.0,7
2025-04-14,Headphones,Audio,North,11226.0,3
2025-04-15,Tablet,Electronics,West,29499.0,1
2025-04-16,Monitor,Electronics,West,62736.0,4
2025-04-17,Printer,Office,South,62740.0,5
2025-04-18,Monitor,Electronics,South,15775.0,1
2025-04-19,Tablet,Electronics,North,174505.0,6
2025-04-20,Headphones,Audio,West,21996.0,6
2025-04-21,Printer,Office,East,12098.0,1
2025-04-22,Keyboard,Accessories,East,26485.0,10
2025-04-23,Laptop,Electronics,West,104110.0,2
2025-04-24,Printer,Office,East,150065.0,12
2025-04-25,Tablet,Electronics,North,291223.0,10
2025-04-26,Tablet,Electronics,East,290894.0,10
2025-04-27,Laptop,Electronics,North,623946.0,12
2025-04-28,Monitor,Electronics,North,93541.0,6
2025-04-29,Printer,Office,North,124621.0,10
2025-04-30,Headphones,Audio,West,32576.0,9
2025-05-01,Printer,Office,East,88413.0,7
2025-05-02,Keyboard,Accessories,West,10430.0,4
2025-05-03,Keyboard,Accessories,East,26332.0,10
2025-05-04,Tablet,Electronics,North,264953.0,9
2025-05-05,Headphones,Audio,West,18090.0,5
2025-05-06,Printer,Office,West,100752.0,8
2025-05-07,Monitor,Electronics,South,141734.0,9
2025-05-08,Mouse,Accessories,East,6327.0,5
2025-05-09,Mouse,Accessories,East,5228.0,4
2025-05-10,Monitor,Electronics,North,62650.0,4
2025-05-11,Laptop,Electronics,North,209986.0,4
2025-05-12,Speaker,Audio,South,33482.0,7
2025-05-13,Tablet,Electronics,South,235109.0,8
2025-05-14,Keyboard,Accessories,North,29079.0,11
2025-05-15,Mouse,Accessories,South,8544.0,7
2025-05-16,Speaker,Audio,South,4795.0,1
2025-05-17,Mouse,Accessories,West,9716.0,8
2025-05-18,Printer,Office,West,100927.0,8
2025-05-19,Speaker,Audio,West,14436.0,3
2025-05-20,Speaker,Audio,South,23894.0,5
2025-05-21,Headphones,Audio,South,33071.0,9
2025-05-22,Headphones,Audio,East,28979.0,8
2025-05-23,Monitor,Electronics,East,78593.0,5
2025-05-24,Mouse,Accessories,South,3434.0,3
2025-05-25,Tablet,Electronics,South,352456.0,12
2025-05-26,Mouse,Accessories,East,8737.0,7
2025-05-27,Speaker,Audio,South,32638.0,7
2025-05-28,Tablet,Electronics,North,206226.0,7
2025-05-29,Tablet,Electronics,East,234706.0,8
2025-05-30,Headphones,Audio,West,26098.0,7
2025-05-31,Monitor,Electronics,East,125724.0,8
2025-06-01,Tablet,Electronics,West,223529.0,8
2025-06-02,Printer,Office,West,132195.0,11
2025-06-03,Keyboard,Accessories,South,20441.0,8
2025-06-04,Laptop,Electronics,North,350106.0,7
2025-06-05,Mouse,Accessories,South,13138.0,11
2025-06-06,Speaker,Audio,East,13051.0,3
2025-06-07,Tablet,Electronics,West,167716.0,6
2025-06-08,Printer,Office,West,72279.0,6
2025-06-09,Headphones,Audio,North,24258.0,7
2025-06-10,Speaker,Audio,North,4767.0,1
2025-06-11,Printer,Office,North,48165.0,4
2025-06-12,Laptop,Electronics,South,50472.0,1
2025-06-13,Monitor,Electronics,South,15136.0,1
2025-06-14,Monitor,Electronics,North,44984.0,3
2025-06-15,Monitor,Electronics,East,120216.0,8
2025-06-16,Printer,Office,North,36120.0,3
2025-06-17,Keyboard,Accessories,North,12110.0,5
2025-06-18,Headphones,Audio,West,35193.0,10
2025-06-19,Tablet,Electronics,North,335703.0,12
2025-06-20,Monitor,Electronics,East,30213.0,2
2025-06-21,Mouse,Accessories,North,12301.0,10
2025-06-22,Printer,Office,East,107938.0,9
2025-06-23,Mouse,Accessories,East,10963.0,9
2025-06-24,Laptop,Electronics,West,350342.0,7
2025-06-25,Mouse,Accessories,East,8883.0,7
2025-06-26,Speaker,Audio,West,53656.0,12
2025-06-27,Keyboard,Accessories,East,30034.0,12
2025-06-28,Speaker,Audio,East,35946.0,8
2025-06-29,Printer,Office,North,48350.0,4
2025-06-30,Headphones,Audio,West,27749.0,8
2025-07-01,Tablet,Electronics,West,169209.0,6
2025-07-02,Printer,Office,South,36359.0,3
2025-07-03,Printer,Office,East,60448.0,5
2025-07-04,Headphones,Audio,South,31325.0,9
2025-07-05,Mouse,Accessories,West,5085.0,4
2025-07-06,Speaker,Audio,South,41181.0,9
2025-07-07,Speaker,Audio,West,50223.0,11
2025-07-08,Speaker,Audio,East,4140.0,1
2025-07-09,Monitor,Electronics,South,106258.0,7
2025-07-10,Headphones,Audio,East,38980.0,11
2025-07-11,Speaker,Audio,East,40948.0,9
2025-07-12,Tablet,Electronics,East,339423.0,12
2025-07-13,Printer,Office,East,145404.0,12
2025-07-14,Headphones,Audio,North,17411.0,5
2025-07-15,Monitor,Electronics,South,90522.0,6
2025-07-16,Monitor,Electronics,West,60856.0,4
2025-07-17,Headphones,Audio,East,42523.0,12
2025-07-18,Mouse,Accessories,South,4651.0,4
2025-07-19,Printer,Office,North,36169.0,3
